"ExecutionNumber","Size in Kb","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"Total5Execution",500,591,564,656,"33,40","0,000%",",23946","102,13","0,09","436740,0"
"Total5Execution",1000,1119,1022,1255,"77,81","0,000%",",30017","255,11","0,11","870274,0"
"Total5Execution",1500,1783,1713,1830,"38,63","0,000%",",25725","327,71","0,09","1304463,0"
"Total5Execution",2000,2318,2187,2553,"125,25","0,000%",",18916","321,17","0,07","1738651,0"
"Total5Execution",2500,3301,3114,3520,"156,33","0,000%",",12576","266,94","0,05","2173627,0"
"Total5Execution",3000,4440,4207,4727,"180,23","0,000%",",12602","320,94","0,05","2607815,0"
"Total5Execution",3500,5393,5016,5932,"315,27","0,000%",",10510","312,23","0,04","3042003,0"
"Total5Execution",4000,7026,6679,7397,"248,37","0,000%",",10542","357,86","0,04","3476191,0"
"Total5Execution",4500,8077,5005,9770,"1611,42","0,000%",",08668","331,00","0,03","3910379,0"
"Total5Execution",5000,9546,8539,10572,"764,14","0,000%",",07022","297,94","0,03","4344567,0"
"Total5Execution",5500,12477,11809,13811,"716,95","0,000%",",06574","306,77","0,02","4778755,0"
"Total5Execution",6000,14350,13415,15935,"863,98","0,000%",",04936","251,26","0,02","5212943,0"
"Total5Execution",6500,14755,11465,17471,"2705,36","0,000%",",05057","278,91","0,02","5647919,0"
"Total5Execution",7000,18468,17147,19980,"972,93","0,000%",",04507","267,67","0,02","6082107,0"
"Total5Execution",7500,21770,20841,22699,"929,00","0,000%",",04230","269,20","0,02","6516295,0"
"Total5Execution",8000,26164,25984,26345,"180,50","0,000%",",02763","187,55","0,01","6950483,0"
"Total5Execution",8500,28371,28371,28371,"0,00","0,000%",",03525","254,19","0,01","7384671,0"
"Total5Execution",9000,29885,29885,29885,"0,00","0,000%",",04314","329,39","0,02","7818859,0"

